id,source_url,source_date,statement,plain_text
1,https://pib.gov.in,2024-01-10,Government increased MSP for wheat for Rabi 2024-25,The Government approved an increase in Minimum Support Price for wheat for the 2024-25 Rabi season.
2,https://pib.gov.in,2024-02-05,Government launched PM GatiShakti Logistics policy,The PM GatiShakti plan was launched to improve logistics and infrastructure efficiency in India.
3,https://pib.gov.in,2024-01-20,India is the world’s third-largest startup ecosystem,India was reported as the third-largest startup ecosystem globally.
4,https://pib.gov.in,2024-02-10,RBI kept repo rate unchanged at 6.5 percent,RBI announced that the repo rate remains at 6.5 percent for the current cycle.
5,https://pib.gov.in,2023-12-25,Government launched Ayushman Bharat Digital Mission,ABDM was launched to digitize health records and create unified health IDs.
6,https://pib.gov.in,2024-01-15,Indian railways introduced 15 new Vande Bharat trains,The Ministry of Railways added 15 new Vande Bharat Express trains.
7,https://pib.gov.in,2024-03-01,New income tax slabs introduced for FY 2024-25,The Finance Ministry released updated tax slabs for FY 2024-25.
8,https://pib.gov.in,2024-02-14,Government approved construction of 3 new AIIMS,The Government approved three new AIIMS institutions across India.
9,https://pib.gov.in,2024-02-20,ISRO announced Chandrayaan-4 mission plan,ISRO confirmed work on the Chandrayaan-4 lunar mission.
10,https://pib.gov.in,2024-01-30,Digital India initiative expanded to cover 6 crore users,Digital India services were expanded across the country.
11,https://pib.gov.in,2023-11-15,BharatNet project connected 2 lakh Gram Panchayats,BharatNet Phase-II completed connectivity to 2 lakh Gram Panchayats.
12,https://pib.gov.in,2023-12-10,PM Kisan provides ₹6,000 annual support to farmers,PM-KISAN offers ₹6,000 annually to eligible farmers.
13,https://pib.gov.in,2023-10-18,UDAN scheme added 50 new routes,The UDAN scheme connected 50 more regional air routes.
14,https://pib.gov.in,2024-01-18,Government approved rooftop solar scheme,The Government launched a rooftop solar programme for 1 crore households.
15,https://pib.gov.in,2024-01-05,Swachh Bharat Mission Phase 2 extended to 2026,SBM Phase 2 will continue until 2026.
16,https://pib.gov.in,2023-11-01,NEP promotes multidisciplinary learning,The National Education Policy 2020 promotes holistic learning.
17,https://pib.gov.in,2024-02-22,Defense budget increased for FY 2024-25,India raised its defense allocation for the 2024-25 budget.
18,https://pib.gov.in,2023-09-12,NHAI completed 5000 km of highways,The NHAI completed construction of 5000 km highways in FY 2023-24.
19,https://pib.gov.in,2023-08-20,Bharat Bill Payment System expanded,BBPS now covers all major utility payment categories across India.
20,https://pib.gov.in,2023-12-02,Government approved 100 new nursing colleges,The Government sanctioned 100 new nursing colleges.
21,https://pib.gov.in,2024-01-12,PLI scheme boosted electronics manufacturing,PLI incentives increased electronics production in India.
22,https://pib.gov.in,2024-02-01,India ranked among top 5 global economies,India placed among the world's top 5 largest economies.
23,https://pib.gov.in,2024-01-28,Government launched drone training program,Drone skilling programmes were introduced for youth.
24,https://pib.gov.in,2023-12-15,NITI Aayog released India Innovation Index,NITI Aayog published the latest India Innovation Index.
25,https://pib.gov.in,2023-11-28,Free vaccines provided under UIP,The Universal Immunization Programme continues providing free vaccines.
26,https://pib.gov.in,2023-10-05,Indian Railways achieved 100% electrification,Railways completed electrification of the broad-gauge network.
27,https://pib.gov.in,2024-02-07,Government sanctioned funds for green energy projects,The Ministry of Power approved ₹20,000 crore for green projects.
28,https://pib.gov.in,2023-09-25,UPI transactions crossed 10 billion,NPCI reported that UPI crossed 10 billion transactions in one month.
29,https://pib.gov.in,2023-10-22,India signed FTA with EFTA countries,India concluded a free trade agreement with EFTA nations.
30,https://pib.gov.in,2023-12-04,Government approved new cybersecurity strategy,The National Cybersecurity Strategy was approved.
31,https://pib.gov.in,2024-01-14,5G labs launched in major institutes,The PM inaugurated new 5G labs across engineering institutes.
32,https://pib.gov.in,2023-11-17,MUDRA Yojana disbursed ₹20 lakh crore,MUDRA scheme has reached ₹20 lakh crore in loans since launch.
33,https://pib.gov.in,2023-12-28,GST collections hit record high,GST revenues recorded the highest annual growth.
34,https://pib.gov.in,2024-01-21,Incentives announced for semiconductor manufacturing,New incentives were approved for chip manufacturing.
35,https://pib.gov.in,2024-02-11,Ayushman Bharat covered 25 crore people,AB-PMJAY coverage exceeded 25 crore citizens.
36,https://pib.gov.in,2023-09-30,NASA-ISRO NISAR mission confirmed,NISAR Earth observation mission is set for launch.
37,https://pib.gov.in,2023-10-16,Green Hydrogen Mission launched,India launched the National Green Hydrogen Mission.
38,https://pib.gov.in,2024-01-24,Minimum wages increased for 2024 update,The Labour Ministry updated minimum wages across sectors.
39,https://pib.gov.in,2024-02-06,Food grain production reached record high,India achieved record food grain output.
40,https://pib.gov.in,2024-01-03,Digital Payments Vision 2025 released,RBI published the Digital Payments Vision 2025 roadmap.
